City,State,Housing type,Project,Units,Sq. ft. per unit,Population density,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Colorado Springs,CO,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.35,1.15,1.54,1.15–1.54,0.28,0.19,0.37,0.19–0.37,33
Baton Rouge,LA,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.29,1.11,1.46,1.11–1.46,0.37,0.27,0.47,0.27–0.47,34
Denver,CO,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.28,1.15,1.42,1.15–1.42,0.23,0.13,0.32,0.13–0.32,35
San Antonio,TX,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.28,1.05,1.51,1.05–1.51,0.14,0.1,0.18,0.1–0.18,36
New Orleans,LA,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.19,1.04,1.34,1.04–1.34,0.2,0.15,0.24,0.15–0.24,37
Fort Worth,TX,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.17,1.06,1.27,1.06–1.27,0.18,0.15,0.21,0.15–0.21,38
Orlando,FL,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.09,0.97,1.2,0.97–1.2,0.19,0.12,0.26,0.12–0.26,39
Oklahoma City,OK,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",0.88,0.78,0.97,0.78–0.97,0.06,0.03,0.09,0.03–0.09,40
El Paso,TX,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",0.81,0.66,0.97,0.66–0.97,0.16,0.07,0.26,0.07–0.26,41
Wilmington,NC,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",0.64,0.61,0.66,0.61–0.66,0,0,0,0–0,42
Tulsa,OK,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",9.46,6.34,12.58,6.34–12.58,1.3,0.78,1.82,0.78–1.82,1
San Francisco,CA,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",4.73,3.71,5.74,3.71–5.74,1.8,1.24,2.35,1.24–2.35,2
Washington,DC,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",4.06,2.89,5.23,2.89–5.23,1.53,0.93,2.12,0.93–2.12,3
Los Angeles,CA,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",4.01,3.58,4.44,3.58–4.44,1.53,1.31,1.75,1.31–1.75,4
Phoenix,AZ,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",3.4,3.11,3.69,3.11–3.69,2.35,1.96,2.75,1.96–2.75,5
New York,NY,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.95,2.83,3.06,2.83–3.06,0.79,0.73,0.84,0.73–0.84,6
Philadelphia,PA,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.93,2.64,3.22,2.64–3.22,0.22,0.18,0.25,0.18–0.25,7
Oakland,CA,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.93,2.09,3.76,2.09–3.76,0.5,0.28,0.73,0.28–0.73,8
Boston,MA,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.7,2.36,3.03,2.36–3.03,1.14,0.92,1.37,0.92–1.37,9
Seattle,WA,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.53,2.41,2.65,2.41–2.65,0.81,0.75,0.87,0.75–0.87,10
Boulder,CO,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.52,2.06,2.98,2.06–2.98,0.8,0.51,1.1,0.51–1.1,11
Sacramento,CA,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.38,1.8,2.96,1.8–2.96,0.38,0.15,0.6,0.15–0.6,12
