City,State,Housing type,Project,Units,Sq. ft. per unit,Population density,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Seattle,WA,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",3.57,3.32,3.83,3.32–3.83,1.08,0.97,1.19,0.97–1.19,9
Charleston,SC,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",3.41,2.83,3.99,2.83–3.99,0.91,0.59,1.24,0.59–1.24,10
Philadelphia,PA,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",3.3,2.97,3.64,2.97–3.64,0.33,0.27,0.39,0.27–0.39,11
Sacramento,CA,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",3.1,2.75,3.45,2.75–3.45,0.95,0.77,1.13,0.77–1.13,12
Durham,NC,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.88,2.56,3.19,2.56–3.19,0.41,0.34,0.48,0.34–0.48,13
Jersey City,NJ,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.86,2.23,3.49,2.23–3.49,0.32,0.11,0.52,0.11–0.52,14
San Diego,CA,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.82,2.64,3.01,2.64–3.01,0.8,0.72,0.88,0.72–0.88,15
Austin,TX,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.82,2.75,2.88,2.75–2.88,0.86,0.81,0.9,0.81–0.9,16
Spokane,WA,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.81,1.95,3.66,1.95–3.66,0.22,0.16,0.29,0.16–0.29,17
Washington,DC,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.79,2.46,3.11,2.46–3.11,0.79,0.64,0.94,0.64–0.94,18
Tulsa,OK,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.73,2.19,3.27,2.19–3.27,0.77,0.44,1.1,0.44–1.1,19
Denver,CO,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.67,2.55,2.79,2.55–2.79,0.62,0.56,0.69,0.56–0.69,20
Houston,TX,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.65,2.58,2.72,2.58–2.72,0.61,0.57,0.65,0.57–0.65,21
Portland,OR,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.6,2.49,2.71,2.49–2.71,0.92,0.85,0.98,0.85–0.98,22
Nashville,TN,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.59,2.31,2.86,2.31–2.86,0.69,0.49,0.88,0.49–0.88,23
Boulder,CO,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.53,2.21,2.85,2.21–2.85,0.7,0.41,0.98,0.41–0.98,24
Orlando,FL,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.51,2.3,2.73,2.3–2.73,0.67,0.57,0.77,0.57–0.77,25
Phoenix,AZ,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.31,2.16,2.45,2.16–2.45,0.54,0.47,0.61,0.47–0.61,26
Cincinnati,OH,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.26,1.81,2.72,1.81–2.72,0.52,0.33,0.72,0.33–0.72,27
Anaheim,CA,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.26,1.86,2.66,1.86–2.66,0.79,0.48,1.1,0.48–1.1,28
Tampa,FL,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.25,1.88,2.63,1.88–2.63,0.5,0.39,0.61,0.39–0.61,29
Louisville,KY,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.25,2.03,2.46,2.03–2.46,0.59,0.49,0.69,0.49–0.69,30
Cleveland,OH,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.18,1.86,2.49,1.86–2.49,0.56,0.42,0.71,0.42–0.71,31
Colorado Springs,CO,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.17,1.96,2.39,1.96–2.39,0.44,0.36,0.51,0.36–0.51,32
Kansas City,MO,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.09,1.88,2.29,1.88–2.29,0.19,0.13,0.26,0.13–0.26,33
Atlanta,GA,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.04,1.86,2.22,1.86–2.22,0.36,0.3,0.43,0.3–0.43,34
Sioux Falls,SD,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.02,1.76,2.29,1.76–2.29,0.24,0.18,0.3,0.18–0.3,35
Fort Worth,TX,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.02,1.95,2.09,1.95–2.09,0.33,0.29,0.36,0.29–0.36,36
Jacksonville,FL,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",2.01,1.9,2.12,1.9–2.12,0.41,0.36,0.45,0.36–0.45,37
Boise,ID,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",1.97,1.71,2.24,1.71–2.24,0.46,0.36,0.56,0.36–0.56,38
Columbus,OH,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",1.97,1.87,2.06,1.87–2.06,0.36,0.33,0.38,0.33–0.38,39
Indianapolis,IN,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",1.94,1.79,2.1,1.79–2.1,0.52,0.43,0.61,0.43–0.61,40
Grand Rapids,MI,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",1.89,1.75,2.02,1.75–2.02,0.31,0.23,0.39,0.23–0.39,41
Reno,NV,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",1.82,1.66,1.97,1.66–1.97,0.23,0.16,0.29,0.16–0.29,42
St. Paul,MN,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",1.8,1.35,2.24,1.35–2.24,0.3,0.2,0.41,0.2–0.41,43
Raleigh,NC,Multifamily,"50 units, 900 sq. ft. each",50,900,"4,000/sq. mi.","$80,000",1.71,1.57,1.84,1.57–1.84,0.29,0.22,0.35,0.22–0.35,44
New York,NY,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",5.31,5.09,5.53,5.09–5.53,1.44,1.31,1.56,1.31–1.56,1
San Francisco,CA,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",5.05,4.68,5.41,4.68–5.41,1.28,1.08,1.49,1.08–1.49,2
Baton Rouge,LA,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",4.98,3.47,6.5,3.47–6.5,1.32,0.79,1.86,0.79–1.86,3
Miami,FL,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",4.6,3.93,5.26,3.93–5.26,1.87,1.35,2.38,1.35–2.38,4
Los Angeles,CA,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",4.45,4.27,4.62,4.27–4.62,1.56,1.47,1.66,1.47–1.66,5
Oakland,CA,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",4.36,4.02,4.69,4.02–4.69,0.99,0.83,1.15,0.83–1.15,6
Boston,MA,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",4.06,3.66,4.47,3.66–4.47,1.71,1.42,1.99,1.42–1.99,7
Charleston,SC,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",3.97,3.06,4.89,3.06–4.89,1.79,1.1,2.49,1.1–2.49,8
Honolulu,HI,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",3.93,3.51,4.35,3.51–4.35,1.7,1.48,1.92,1.48–1.92,9
Seattle,WA,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",3.6,3.33,3.87,3.33–3.87,1.09,0.98,1.2,0.98–1.2,10
Philadelphia,PA,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",3.3,2.97,3.63,2.97–3.63,0.33,0.27,0.4,0.27–0.4,11
Spokane,WA,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",3.02,2.01,4.02,2.01–4.02,0.22,0.15,0.3,0.15–0.3,12
Sacramento,CA,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",3.02,2.66,3.37,2.66–3.37,0.94,0.75,1.13,0.75–1.13,13
Durham,NC,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.9,2.6,3.2,2.6–3.2,0.41,0.34,0.48,0.34–0.48,14
Austin,TX,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.9,2.83,2.97,2.83–2.97,0.86,0.82,0.91,0.82–0.91,15
Jersey City,NJ,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.84,2.21,3.47,2.21–3.47,0.32,0.11,0.53,0.11–0.53,16
San Diego,CA,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.82,2.63,3.01,2.63–3.01,0.81,0.72,0.89,0.72–0.89,17
Nashville,TN,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.82,2.51,3.12,2.51–3.12,0.75,0.53,0.96,0.53–0.96,18
Portland,OR,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.77,2.61,2.93,2.61–2.93,0.94,0.86,1.03,0.86–1.03,19
Tulsa,OK,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.77,2.22,3.32,2.22–3.32,0.81,0.46,1.15,0.46–1.15,20
Washington,DC,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.74,2.42,3.07,2.42–3.07,0.78,0.63,0.93,0.63–0.93,21
Boulder,CO,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.68,2.38,2.99,2.38–2.99,0.75,0.45,1.05,0.45–1.05,22
Houston,TX,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.68,2.61,2.75,2.61–2.75,0.61,0.57,0.65,0.57–0.65,23
Denver,CO,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.65,2.54,2.77,2.54–2.77,0.61,0.55,0.68,0.55–0.68,24
Orlando,FL,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.65,2.44,2.87,2.44–2.87,0.76,0.65,0.86,0.65–0.86,25
Colorado Springs,CO,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.53,2.36,2.69,2.36–2.69,0.54,0.48,0.59,0.48–0.59,26
Phoenix,AZ,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.37,2.23,2.52,2.23–2.52,0.53,0.46,0.6,0.46–0.6,27
Cincinnati,OH,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.34,2,2.67,2–2.67,0.48,0.34,0.62,0.34–0.62,28
Louisville,KY,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.33,2.12,2.55,2.12–2.55,0.62,0.51,0.73,0.51–0.73,29
Anaheim,CA,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.33,1.91,2.75,1.91–2.75,0.78,0.47,1.1,0.47–1.1,30
Cleveland,OH,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.31,1.96,2.67,1.96–2.67,0.63,0.47,0.79,0.47–0.79,31
Tampa,FL,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.25,1.91,2.6,1.91–2.6,0.49,0.38,0.6,0.38–0.6,32
Kansas City,MO,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.15,1.93,2.36,1.93–2.36,0.2,0.13,0.27,0.13–0.27,33
Atlanta,GA,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.12,1.92,2.31,1.92–2.31,0.39,0.32,0.46,0.32–0.46,34
Fort Worth,TX,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.08,2.01,2.15,2.01–2.15,0.36,0.32,0.4,0.32–0.4,35
Jacksonville,FL,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.08,1.96,2.19,1.96–2.19,0.4,0.36,0.45,0.36–0.45,36
Columbus,OH,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.04,1.94,2.15,1.94–2.15,0.36,0.33,0.38,0.33–0.38,37
Indianapolis,IN,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",2.02,1.85,2.19,1.85–2.19,0.54,0.44,0.63,0.44–0.63,38
Boise,ID,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",1.99,1.71,2.27,1.71–2.27,0.45,0.35,0.56,0.35–0.56,39
Sioux Falls,SD,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",1.96,1.69,2.23,1.69–2.23,0.25,0.18,0.31,0.18–0.31,40
Grand Rapids,MI,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",1.89,1.75,2.03,1.75–2.03,0.32,0.24,0.4,0.24–0.4,41
Reno,NV,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",1.88,1.71,2.05,1.71–2.05,0.24,0.17,0.3,0.17–0.3,42
St. Paul,MN,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",1.86,1.4,2.32,1.4–2.32,0.31,0.2,0.42,0.2–0.42,43
Raleigh,NC,Multifamily,"50 units, 1,200 sq. ft. each",50,1200,"4,000/sq. mi.","$80,000",1.78,1.65,1.9,1.65–1.9,0.31,0.24,0.38,0.24–0.38,44
New York,NY,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",5.43,5.2,5.67,5.2–5.67,1.45,1.32,1.58,1.32–1.58,1
Baton Rouge,LA,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",5.16,3.58,6.74,3.58–6.74,1.43,0.85,2.02,0.85–2.02,2
San Francisco,CA,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",5.09,4.71,5.46,4.71–5.46,1.3,1.09,1.51,1.09–1.51,3
Miami,FL,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",4.59,3.95,5.24,3.95–5.24,1.91,1.39,2.42,1.39–2.42,4
Los Angeles,CA,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",4.55,4.37,4.74,4.37–4.74,1.55,1.45,1.65,1.45–1.65,5
Charleston,SC,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",4.48,3.23,5.72,3.23–5.72,3.03,1.61,4.45,1.61–4.45,6
Oakland,CA,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",4.22,3.83,4.6,3.83–4.6,0.91,0.77,1.04,0.77–1.04,7
Boston,MA,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",4.04,3.62,4.45,3.62–4.45,1.67,1.39,1.95,1.39–1.95,8
Honolulu,HI,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",4.02,3.57,4.47,3.57–4.47,1.76,1.53,1.99,1.53–1.99,9
Seattle,WA,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",3.62,3.34,3.91,3.34–3.91,1.09,0.98,1.21,0.98–1.21,10
Philadelphia,PA,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",3.3,2.97,3.63,2.97–3.63,0.34,0.27,0.4,0.27–0.4,11
Spokane,WA,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",3.19,2.05,4.33,2.05–4.33,0.23,0.15,0.3,0.15–0.3,12
Nashville,TN,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",3.01,2.67,3.34,2.67–3.34,0.8,0.57,1.04,0.57–1.04,13
Austin,TX,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.97,2.88,3.06,2.88–3.06,0.87,0.82,0.93,0.82–0.93,14
Sacramento,CA,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.95,2.58,3.32,2.58–3.32,0.93,0.73,1.13,0.73–1.13,15
Durham,NC,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.93,2.61,3.24,2.61–3.24,0.41,0.33,0.48,0.33–0.48,16
Portland,OR,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.91,2.7,3.11,2.7–3.11,0.97,0.86,1.07,0.86–1.07,17
Colorado Springs,CO,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.84,2.64,3.04,2.64–3.04,0.63,0.56,0.7,0.56–0.7,18
Jersey City,NJ,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.83,2.2,3.45,2.2–3.45,0.32,0.12,0.53,0.12–0.53,19
San Diego,CA,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.82,2.62,3.02,2.62–3.02,0.82,0.73,0.9,0.73–0.9,20
Boulder,CO,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.81,2.51,3.12,2.51–3.12,0.8,0.47,1.12,0.47–1.12,21
Tulsa,OK,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.8,2.23,3.36,2.23–3.36,0.83,0.47,1.19,0.47–1.19,22
Orlando,FL,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.77,2.54,2.99,2.54–2.99,0.83,0.71,0.95,0.71–0.95,23
Washington,DC,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.71,2.38,3.05,2.38–3.05,0.78,0.62,0.93,0.62–0.93,24
Houston,TX,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.7,2.63,2.78,2.63–2.78,0.62,0.58,0.66,0.58–0.66,25
Denver,CO,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.64,2.53,2.75,2.53–2.75,0.61,0.55,0.67,0.55–0.67,26
Cleveland,OH,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.43,2.04,2.81,2.04–2.81,0.68,0.5,0.86,0.5–0.86,27
Phoenix,AZ,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.42,2.27,2.58,2.27–2.58,0.52,0.44,0.59,0.44–0.59,28
Louisville,KY,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.41,2.18,2.63,2.18–2.63,0.65,0.53,0.76,0.53–0.76,29
Cincinnati,OH,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.4,2.1,2.69,2.1–2.69,0.45,0.33,0.58,0.33–0.58,30
Anaheim,CA,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.38,1.94,2.82,1.94–2.82,0.78,0.46,1.1,0.46–1.1,31
Tampa,FL,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.25,1.92,2.59,1.92–2.59,0.48,0.37,0.59,0.37–0.59,32
Kansas City,MO,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.2,1.96,2.43,1.96–2.43,0.21,0.14,0.28,0.14–0.28,33
Atlanta,GA,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.18,1.98,2.38,1.98–2.38,0.41,0.33,0.48,0.33–0.48,34
Fort Worth,TX,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.13,2.06,2.2,2.06–2.2,0.39,0.35,0.44,0.35–0.44,35
Jacksonville,FL,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.13,2,2.26,2–2.26,0.4,0.36,0.44,0.36–0.44,36
Columbus,OH,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.1,1.99,2.22,1.99–2.22,0.35,0.32,0.38,0.32–0.38,37
Indianapolis,IN,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2.08,1.9,2.26,1.9–2.26,0.55,0.45,0.65,0.45–0.65,38
Boise,ID,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",2,1.7,2.3,1.7–2.3,0.45,0.34,0.55,0.34–0.55,39
Reno,NV,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",1.93,1.75,2.11,1.75–2.11,0.24,0.17,0.31,0.17–0.31,40
Sioux Falls,SD,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",1.91,1.63,2.19,1.63–2.19,0.25,0.18,0.33,0.18–0.33,41
St. Paul,MN,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",1.91,1.39,2.43,1.39–2.43,0.32,0.21,0.44,0.21–0.44,42
Grand Rapids,MI,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",1.89,1.74,2.04,1.74–2.04,0.32,0.24,0.41,0.24–0.41,43
Raleigh,NC,Multifamily,"50 units, 1,500 sq. ft. each",50,1500,"4,000/sq. mi.","$80,000",1.83,1.7,1.96,1.7–1.96,0.33,0.26,0.4,0.26–0.4,44
Baton Rouge,LA,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",5.41,3.49,7.34,3.49–7.34,1.34,0.71,1.98,0.71–1.98,1
New York,NY,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",5.41,5.17,5.65,5.17–5.65,1.43,1.3,1.57,1.3–1.57,2
San Francisco,CA,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",5.08,4.6,5.55,4.6–5.55,1.12,0.91,1.33,0.91–1.33,3
Oakland,CA,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",4.59,4.07,5.12,4.07–5.12,1.27,0.88,1.66,0.88–1.66,4
Honolulu,HI,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",4.5,3.89,5.12,3.89–5.12,1.93,1.64,2.23,1.64–2.23,5
Boston,MA,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",4.39,3.82,4.96,3.82–4.96,1.82,1.43,2.21,1.43–2.21,6
Los Angeles,CA,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",4.35,4.14,4.55,4.14–4.55,1.63,1.51,1.75,1.51–1.75,7
Miami,FL,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",4.3,3.58,5.02,3.58–5.02,1.75,1.15,2.34,1.15–2.34,8
Seattle,WA,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",3.77,3.47,4.08,3.47–4.08,1.12,1,1.25,1–1.25,9
Philadelphia,PA,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",3.56,3.17,3.95,3.17–3.95,0.34,0.28,0.41,0.28–0.41,10
Charleston,SC,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",3.43,2.93,3.92,2.93–3.92,0.57,0.29,0.84,0.29–0.84,11
Sacramento,CA,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",3.36,2.85,3.87,2.85–3.87,0.96,0.71,1.2,0.71–1.2,12
San Diego,CA,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",3,2.78,3.21,2.78–3.21,0.83,0.74,0.92,0.74–0.92,13
Austin,TX,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",2.95,2.84,3.05,2.84–3.05,0.93,0.86,0.99,0.86–0.99,14
Jersey City,NJ,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",2.94,2.27,3.6,2.27–3.6,0.32,0.12,0.53,0.12–0.53,15
Spokane,WA,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",2.91,1.97,3.86,1.97–3.86,0.2,0.14,0.26,0.14–0.26,16
Durham,NC,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",2.9,2.51,3.29,2.51–3.29,0.47,0.35,0.59,0.35–0.59,17
Denver,CO,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",2.87,2.71,3.02,2.71–3.02,0.66,0.57,0.75,0.57–0.75,18
Washington,DC,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",2.84,2.49,3.18,2.49–3.18,0.81,0.65,0.96,0.65–0.96,19
Tulsa,OK,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",2.83,2.12,3.53,2.12–3.53,0.72,0.36,1.08,0.36–1.08,20
Orlando,FL,Multifamily,"100 units, 700 sq. ft. each",100,700,"4,000/sq. mi.","$80,000",2.74,2.47,3,2.47–3,0.69,0.56,0.82,0.56–0.82,21
