City,State,Housing type,Units,Sq. ft. per unit,Population density,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Colorado Springs,CO,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.3,2.15,2.45,2.15–2.45,0.56,0.5,0.62,0.5–0.62,25
Cincinnati,OH,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.24,1.87,2.61,1.87–2.61,0.47,0.3,0.64,0.3–0.64,26
Orlando,FL,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.22,2.05,2.4,2.05–2.4,0.64,0.55,0.72,0.55–0.72,27
Cleveland,OH,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.14,1.84,2.45,1.84–2.45,0.57,0.42,0.71,0.42–0.71,28
Boise,ID,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.05,1.77,2.32,1.77–2.32,0.55,0.41,0.68,0.41–0.68,29
Atlanta,GA,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.05,1.85,2.24,1.85–2.24,0.64,0.51,0.76,0.51–0.76,30
Anaheim,CA,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.04,1.81,2.27,1.81–2.27,0.95,0.73,1.18,0.73–1.18,31
Kansas City,MO,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.04,1.88,2.2,1.88–2.2,0.2,0.15,0.26,0.15–0.26,32
Tampa,FL,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.02,1.74,2.31,1.74–2.31,0.49,0.4,0.58,0.4–0.58,33
Louisville,KY,Multifamily,20,1200,"4,000/sq. mi.","$80,000",1.95,1.79,2.12,1.79–2.12,0.48,0.41,0.55,0.41–0.55,34
St. Paul,MN,Multifamily,20,1200,"4,000/sq. mi.","$80,000",1.93,1.24,2.62,1.24–2.62,0.3,0.17,0.44,0.17–0.44,35
Fort Worth,TX,Multifamily,20,1200,"4,000/sq. mi.","$80,000",1.9,1.83,1.96,1.83–1.96,0.31,0.28,0.35,0.28–0.35,36
Jacksonville,FL,Multifamily,20,1200,"4,000/sq. mi.","$80,000",1.89,1.78,2.01,1.78–2.01,0.39,0.34,0.43,0.34–0.43,37
Sioux Falls,SD,Multifamily,20,1200,"4,000/sq. mi.","$80,000",1.88,1.66,2.1,1.66–2.1,0.25,0.2,0.31,0.2–0.31,38
Columbus,OH,Multifamily,20,1200,"4,000/sq. mi.","$80,000",1.86,1.79,1.93,1.79–1.93,0.32,0.3,0.34,0.3–0.34,39
Indianapolis,IN,Multifamily,20,1200,"4,000/sq. mi.","$80,000",1.82,1.67,1.97,1.67–1.97,0.54,0.45,0.63,0.45–0.63,40
Grand Rapids,MI,Multifamily,20,1200,"4,000/sq. mi.","$80,000",1.66,1.53,1.78,1.53–1.78,0.3,0.24,0.36,0.24–0.36,41
Reno,NV,Multifamily,20,1200,"4,000/sq. mi.","$80,000",1.65,1.57,1.73,1.57–1.73,0.16,0.13,0.19,0.13–0.19,42
Raleigh,NC,Multifamily,20,1200,"4,000/sq. mi.","$80,000",1.55,1.44,1.66,1.44–1.66,0.28,0.22,0.34,0.22–0.34,43
San Francisco,CA,Single-family,1,2800,"4,000/sq. mi.","$80,000",3.81,3.37,4.24,3.37–4.24,1.14,0.94,1.33,0.94–1.33,1
Miami,FL,Single-family,1,2800,"4,000/sq. mi.","$80,000",3.56,3.3,3.81,3.3–3.81,1.41,1.28,1.54,1.28–1.54,2
Philadelphia,PA,Single-family,1,2800,"4,000/sq. mi.","$80,000",3.05,2.73,3.37,2.73–3.37,0.23,0.18,0.29,0.18–0.29,3
Oakland,CA,Single-family,1,2800,"4,000/sq. mi.","$80,000",2.9,2.59,3.21,2.59–3.21,0.46,0.39,0.54,0.39–0.54,4
Pittsburgh,PA,Single-family,1,2800,"4,000/sq. mi.","$80,000",2.76,2.25,3.27,2.25–3.27,0.97,0.57,1.36,0.57–1.36,5
Los Angeles,CA,Single-family,1,2800,"4,000/sq. mi.","$80,000",2.63,2.59,2.67,2.59–2.67,0.78,0.76,0.8,0.76–0.8,6
New York,NY,Single-family,1,2800,"4,000/sq. mi.","$80,000",2.54,2.47,2.62,2.47–2.62,0.68,0.65,0.72,0.65–0.72,7
Boston,MA,Single-family,1,2800,"4,000/sq. mi.","$80,000",2.47,2.08,2.87,2.08–2.87,1.24,0.93,1.55,0.93–1.55,8
Honolulu,HI,Single-family,1,2800,"4,000/sq. mi.","$80,000",2.13,2.07,2.19,2.07–2.19,0.68,0.65,0.7,0.65–0.7,9
Seattle,WA,Single-family,1,2800,"4,000/sq. mi.","$80,000",2.12,2.05,2.19,2.05–2.19,0.63,0.59,0.66,0.59–0.66,10
San Diego,CA,Single-family,1,2800,"4,000/sq. mi.","$80,000",2.1,2,2.21,2–2.21,0.67,0.62,0.72,0.62–0.72,11
San Jose,CA,Single-family,1,2800,"4,000/sq. mi.","$80,000",2.1,1.68,2.52,1.68–2.52,0.33,0.19,0.47,0.19–0.47,12
Providence,RI,Single-family,1,2800,"4,000/sq. mi.","$80,000",2.1,1.55,2.64,1.55–2.64,0.14,0.09,0.18,0.09–0.18,13
Fort Lauderdale,FL,Single-family,1,2800,"4,000/sq. mi.","$80,000",2.05,1.88,2.23,1.88–2.23,0.53,0.46,0.61,0.46–0.61,14
St. Paul,MN,Single-family,1,2800,"4,000/sq. mi.","$80,000",2.03,1.74,2.32,1.74–2.32,0.18,0.16,0.21,0.16–0.21,15
Boulder,CO,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.98,1.78,2.18,1.78–2.18,0.48,0.42,0.53,0.42–0.53,16
Cleveland,OH,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.69,1.54,1.85,1.54–1.85,0.61,0.54,0.68,0.54–0.68,17
Buffalo,NY,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.65,1.15,2.14,1.15–2.14,0.46,0.23,0.68,0.23–0.68,18
Houston,TX,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.63,1.56,1.69,1.56–1.69,0.29,0.27,0.31,0.27–0.31,19
Albuquerque,NM,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.6,1.53,1.68,1.53–1.68,0.11,0.1,0.11,0.1–0.11,20
Anaheim,CA,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.59,1.42,1.76,1.42–1.76,0.58,0.49,0.67,0.49–0.67,21
Cincinnati,OH,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.51,1.43,1.59,1.43–1.59,0.22,0.2,0.24,0.2–0.24,22
Sacramento,CA,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.46,1.37,1.54,1.37–1.54,0.42,0.38,0.47,0.38–0.47,23
Portland,OR,Single-family,1,2800,"4,000/sq. mi.","$80,000",1.41,1.38,1.44,1.38–1.44,0.49,0.48,0.51,0.48–0.51,24
